IC;Pin count;Quantity;Designators
4072;14;4;U3, U7, U9, U10
         74HC04;14;3;U2, U53, U66
         74HC08;14;11;U5, U26, U28, U30, U32, U59, U60, U71, U73, U76, U78
         74HC32;14;4;U63, U64, U74, U79
       74HC4078;14;1;U69
         74HC86;14;10;U25, U27, U29, U31, U54, U55, U70, U72, U75, U77
;T14;33;
        74HC138;16;1;U68
       74HC4017;16;3;U4, U6, U8
;T16;4;
        74HC244;20;26;U13, U14, U15, U16, U19, U20, U23, U24, U35, U36, U37, U40, U41, U42, U43, U46, U48, U50, U52, U56, U57, U58, U61, U62, U65, U67
        74HC373;20;15;U11, U12, U17, U18, U21, U22, U33, U34, U38, U39, U44, U45, U47, U49, U51
;T20;31;
      BS62LV256;28 @ 0.6;1;U1
;T28;1;
;;;
1282;;;
